,id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,est_left_over_right,whensaved
82,165388,vp09,0,2017-10-03 17:02:23,1507050136987,X,1779,1000,0.83999999999999997,0.23999999999999999,left,1.0,1.0,inperson,0,0,fqWN,91,36.0,21.0,36,false,combined,9,37,41,13,0,,
83,165389,vp09,1,2017-10-03 17:02:30,1507050143772,X,1833,1000, 0.76000000000000001, 0.64000000000000001,left, 1.0, 1.0,inperson,0,0,fqWN,91, 78.0, 101.0,78,false,combined,13,17,37,33,0,,
84,165390,vp09,2,2017-10-03 17:02:36,1507050150611,O,1607,1000, 0.66000000000000003, 0.35999999999999999,left, 1.0, 0.80000000000000004,inperson,0,0,fqWN,91, 21.0, 68.0,0,false,combined,18,25,32,15,0,,
85,165391,vp09,3,2017-10-03 17:02:42,1507050157222,O,931,1000, 0.76000000000000001, 0.92000000000000004,right, 0.10000000000000001, 1.0,inperson,0,0,fqWN,91, 8.0, 12.0,0,false,combined,1,4,4,46,0,,
86,165392,vp09,4,2017-10-03 17:02:49,1507050163158,X,2131,1000, 0.88, 0.38,left, 1.0, 1.0,inperson,0,0,fqWN,91, 7.0, 20.0,7,false,combined,6,31,44,19,0,,
87,165393,vp09,5,2017-10-03 17:03:03,1507050176297,X,2703,1078, 0.73999999999999999, 0.40000000000000002,right, 1.0, 1.0,inperson,0,0,fqWN,78, -16.0, -38.0,-38,false,combined,13,30,37,20,0,,
88,165394,vp09,6,2017-10-03 17:03:10,1507050184004,O,1971,1078, 0.64000000000000001, 0.92000000000000004,right, 1.0, 0.02,inperson,0,0,fqWN,78, -97.0, -70.0,0,false,combined,19,0,31,1,0,,
89,165395,vp09,7,2017-10-03 17:03:18,1507050190979,O,2582,1078, 0.41999999999999998, 0.26000000000000001,right, 1.0, 0.40000000000000002,inperson,0,0,fqWN,78, -33.0, -60.0,0,false,combined,28,17,22,3,0,,
90,165396,vp09,8,2017-10-03 17:03:25,1507050198564,X,2021,1078, 0.95999999999999996, 0.59999999999999998,left, 1.0, 1.0,inperson,0,0,fqWN,78, -5.0, -25.0,-5,false,combined,3,20,47,30,0,,
91,165397,vp09,9,2017-10-03 17:03:32,1507050205589,O,2040,1078, 0.40000000000000002, 0.80000000000000004,left, 0.10000000000000001, 1.0,inperson,0,0,fqWN,78, -87.0, -55.0,0,false,combined,4,10,1,40,0,,
92,165398,vp09,10,2017-10-03 17:03:45,1507050218638,O,2435,1078, 0.47999999999999998, 0.40000000000000002,right, 1.0, 1.0,inperson,0,0,fqWN,0, -63.0, -13.0,0,false,combined,25,30,25,20,0,,
93,165399,vp09,11,2017-10-03 17:03:52,1507050226077,X,1501,1078, 0.71999999999999997, 0.059999999999999998,left, 1.0, 1.0,inperson,0,0,fqWN,0, -12.0, -134.0,-12,false,combined,14,46,36,4,0,,
94,165400,vp09,12,2017-10-03 17:03:58,1507050232583,O,1797,1078, 0.44, 0.52000000000000002,right, 1.0, 0.02,inperson,0,0,fqWN,0, -68.0, -50.0,0,false,combined,26,0,24,1,0,,
95,165401,vp09,13,2017-10-03 17:04:06,1507050239384,O,2843,1078, 0.29999999999999999, 0.46000000000000002,left, 1.0, 0.10000000000000001,inperson,0,0,fqWN,0, -60.0, -50.0,0,false,combined,35,3,15,2,0,,
96,165402,vp09,14,2017-10-03 17:04:14,1507050247233,O,3092,1078, 0.64000000000000001, 0.38,right, 0.20000000000000001, 1.0,inperson,0,0,fqWN,0, -60.0, -81.0,0,false,combined,3,31,7,19,0,,
97,165403,vp09,15,2017-10-03 17:04:27,1507050261333,X,1820,1078, 0.95999999999999996, 0.59999999999999998,left, 1.0, 1.0,inperson,0,0,fqWN,0, 16.0, 8.0,16,false,combined,2,20,48,30,0,,
98,165404,vp09,16,2017-10-03 17:04:34,1507050268157,X,2104,1078, 0.35999999999999999, 0.92000000000000004,right, 0.059999999999999998, 1.0,inperson,0,0,fqWN,0, 98.0, 90.0,90,false,combined,1,4,2,46,0,,
99,165405,vp09,17,2017-10-03 17:04:41,1507050275265,X,1217,1078, 0.76000000000000001, 0.68000000000000005,left, 1.0, 0.02,inperson,0,0,fqWN,0, 88.0, 80.0,88,false,combined,12,1,38,0,0,,
100,165406,vp09,18,2017-10-03 17:04:48,1507050281487,X,2608,1078, 0.95999999999999996, 0.32000000000000001,left, 1.0, 1.0,inperson,0,0,fqWN,0, 15.0, 53.0,15,false,combined,3,33,47,17,0,,
101,165407,vp09,19,2017-10-03 17:04:55,1507050289099,O,2032,1078, 0.66000000000000003, 0.69999999999999996,right, 1.0, 1.0,inperson,0,0,fqWN,0, 22.0, 23.0,0,false,combined,17,15,33,35,0,,
102,165408,vp09,20,2017-10-03 17:05:08,1507050302140,O,1977,1166, 0.23999999999999999, 0.71999999999999997,right, 0.20000000000000001, 1.0,inperson,0,0,fqWN,88, 40.0, 7.0,0,false,combined,8,13,2,37,0,,
103,165409,vp09,21,2017-10-03 17:05:15,1507050309121,O,1472,1166, 0.47999999999999998, 0.40000000000000002,left, 1.0, 1.0,inperson,0,0,fqWN,88, 63.0, 13.0,0,false,combined,25,30,25,20,0,,
104,165410,vp09,22,2017-10-03 17:05:21,1507050315597,O,1633,1166, 0.28000000000000003, 0.66000000000000003,left, 1.0, 0.059999999999999998,inperson,0,0,fqWN,88, 88.0, 38.0,0,false,combined,36,1,14,2,0,,
105,165411,vp09,23,2017-10-03 17:05:28,1507050322233,X,1589,1166, 0.66000000000000003, 0.93999999999999995,right, 1.0, 1.0,inperson,0,0,fqWN,88, 15.0, 5.0,5,false,combined,18,2,32,48,0,,
